COUNTRY,BLUES,BRASS_MILITARY,CHILDRENS,CLASSICAL,ELECTRONIC,FOLK_WORLD_COUNTRY,FUNK_SOUL,HIP_HOP,JAZZ,LATIN,NON_MUSIC,POP,REGGAE,ROCK,STAGE_SCREEN,TOTAL
Abkhazia,0,1,0,0,1,9,0,2,0,1,0,5,0,5,0,24
Afghanistan,0,0,0,7,2,185,0,0,0,0,16,33,0,2,0,245
Africa,2,0,0,2,9,74,8,8,5,10,1,19,10,5,3,156
Albania,2,19,3,10,324,274,6,27,14,1,1,197,2,152,2,1034
Algeria,15,4,0,24,111,3903,70,92,18,10,12,259,23,157,36,4734
American Samoa,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,6
Andorra,21,1,0,21,172,129,21,0,254,17,127,45,2,147,33,990
Angola,15,1,18,9,57,1742,253,82,61,370,14,454,14,377,32,3499
Anguilla,0,0,0,0,1,3,2,0,1,0,0,0,9,0,0,16
Antarctica,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Antigua & Barbuda,1,0,1,0,76,59,18,5,3,9,0,11,123,2,1,309
Argentina,2305,214,1171,3935,20658,14275,6406,1780,8698,32951,1511,28298,2117,51918,3362,179599
Armenia,5,1,2,32,156,270,7,20,26,3,3,251,10,123,0,909
Aruba,0,0,3,2,6,52,14,6,3,113,3,20,22,6,0,250
Asia,26,0,6,78,718,120,260,170,117,78,45,804,43,885,116,3466
Australasia,335,14,95,691,3503,1067,1162,1172,606,102,163,3799,150,7286,676,20821
Australia,10343,1458,3949,23616,83747,51951,25537,14601,33830,4131,7314,96492,3150,171255,15122,546496
Australia & New Zealand,326,24,80,535,4277,1360,942,697,584,104,174,2953,168,6150,506,18880
Austria,3731,1002,719,11222,23106,22083,3646,2844,8368,1525,3338,25683,1161,26333,2290,137051
Austria-Hungary,0,113,0,139,0,175,0,0,0,0,39,39,0,0,25,530
Azerbaijan,2,3,1,127,297,393,12,96,66,1,32,616,10,224,7,1887
Bahamas,7,3,0,1,26,344,267,11,31,52,5,141,507,29,4,1428
Bahrain,0,1,1,4,11,203,19,6,6,0,3,23,0,53,3,333
Bangladesh,5,2,1,8,39,153,7,18,7,0,7,115,1,163,37,563
Barbados,29,6,3,30,277,1182,1674,28,208,241,22,827,2869,614,86,8096
Belarus,74,8,10,77,3082,418,34,347,106,19,56,625,31,3263,29,8179
Belgian Congo,1,0,0,0,0,250,0,0,2,95,0,1,0,0,0,349
Belgium,2672,1227,2305,9736,81679,20115,7514,5224,10632,3831,3830,62822,1646,47395,3194,263822
Belize,3,1,1,1,60,67,132,32,33,40,0,78,63,33,2,546
Benelux,194,17,216,472,3363,788,848,466,466,206,191,4050,210,3517,310,15314
Benin,13,0,0,0,3,658,152,5,8,177,4,34,36,14,1,1105
Bermuda,1,0,0,1,67,119,37,2,11,16,3,52,121,19,1,450
Bhutan,0,0,0,0,1,30,0,0,0,0,9,9,0,1,3,53
Bohemia,0,3,0,7,0,11,0,0,1,0,0,3,0,0,3,28
Bolivia,68,69,71,125,1161,5726,703,83,226,9807,79,3209,126,3586,177,25216
Bosnia and Herz.,20,18,8,26,1106,2584,30,110,34,21,53,963,29,792,18,5812
Botswana,0,0,0,0,11,25,5,11,7,0,1,3,0,29,0,92
Brazil,4293,520,2697,9114,38526,32487,24429,7606,21992,95121,2459,48890,4088,92017,6316,390555
British Virgin Islands,0,0,0,0,1,6,6,0,0,0,1,3,8,0,0,25
Brunei,0,1,2,0,5,7,6,2,3,0,1,16,0,54,0,97
Bulgaria,381,92,547,1978,7932,8224,1106,1712,1579,516,527,10598,288,10212,493,46185
Burkina Faso,0,0,0,0,3,85,4,27,0,2,1,11,9,0,0,142
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,2,0,1,17,12,200,3,4,1,1,1,331,1,320,4,898
Cambodia,8,16,0,9,9,391,7,4,16,9,4,142,1,98,6,720
Cameroon,13,1,1,0,28,822,133,20,43,71,11,27,25,14,3,1212
Canada,15312,1862,6508,34363,110429,118659,48755,24137,59511,10238,11322,142128,9887,238120,19917,851148
Cape Verde,2,0,0,8,10,294,25,14,5,48,1,16,8,0,0,431
Cayman Islands,0,0,0,0,24,54,15,1,0,11,1,26,84,18,0,234
Central African Rep.,0,0,0,0,0,65,5,1,3,33,2,0,0,0,0,109
Central America,2,0,1,7,143,11,9,12,6,85,2,33,8,37,4,360
Chad,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Chile,519,256,430,1186,10759,5811,1819,1349,1938,11514,624,10856,441,20305,869,68676
China,218,135,117,1075,6194,4060,960,1235,1008,206,428,10026,150,10748,853,37413
Colombia,298,64,314,1009,8524,7516,2497,1046,2002,47572,519,10375,825,13489,680,96730
Comoros,0,0,0,0,0,25,1,0,0,1,1,3,2,1,0,34
Dem. Rep. Congo,7,1,3,8,10,2778,72,13,41,1107,11,62,38,43,2,4196
Congo,8,2,1,0,2,523,38,1,11,267,5,16,4,3,1,882
Cook Islands,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28
Costa Rica,44,26,63,186,854,776,736,155,381,5514,94,2895,301,3068,124,15217
Croatia,426,89,215,1036,4900,3807,704,862,1056,274,261,7241,335,8449,298,29953
Cuba,19,51,39,196,68,1224,640,149,1115,7815,147,543,27,287,33,12353
Curaçao,2,0,13,7,16,290,36,23,9,595,43,56,33,9,0,1132
N. Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,33,0,10,29,756,414,29,31,81,4,7,160,131,491,10,2186
Czechia,1105,204,1008,3798,15143,6797,992,3213,2582,201,2414,8955,367,24204,1354,72337
Czech Republic & Slovakia,131,16,47,397,1203,604,138,425,241,60,57,1639,37,2353,151,7499
Czechoslovakia,574,2009,1607,14238,1909,8566,1118,41,4668,792,3196,16494,111,9157,1545,66025
Dahomey,17,1,0,2,0,470,178,0,2,163,1,11,2,16,0,863
Denmark,2192,414,3152,6638,25350,12417,2819,5762,13867,899,2487,37220,941,34114,3496,151768
Djibouti,0,0,0,0,0,7,0,1,0,0,1,3,0,1,0,13
Dominica,0,0,0,0,1,83,14,1,0,9,0,3,69,1,0,181
Dominican Rep.,6,1,4,18,425,158,78,77,63,2899,16,234,29,183,6,4197
Dutch East Indies,0,1,0,0,0,404,0,0,2,0,3,13,0,0,1,424
