COUNTRY,BLUES,BRASS_MILITARY,CHILDRENS,CLASSICAL,ELECTRONIC,FOLK_WORLD_COUNTRY,FUNK_SOUL,HIP_HOP,JAZZ,LATIN,NON_MUSIC,POP,REGGAE,ROCK,STAGE_SCREEN,TOTAL
Abkhazia,0,1,0,0,1,9,0,2,0,1,0,5,0,5,0,24
Afghanistan,1000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anguilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antarctica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua & Barbuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armenia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aruba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Asia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australasia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Australia & New Zealand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria-Hungary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahamas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bangladesh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belgian Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benelux,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bermuda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bohemia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herz.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Botswana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
British Virgin Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brunei,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Burundi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Myanmar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cape Verde,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cayman Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Rep.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colombia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Comoros,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dem. Rep. Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Congo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cook Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Croatia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cuba,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Curaçao,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
N. Cyprus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyprus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czechia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic & Slovakia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czechoslovakia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dahomey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominican Rep.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dutch East Indies,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ecuador,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Egypt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El Salvador,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eq. Guinea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eritrea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estonia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Falkland Is.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faroe Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fiji,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
France & Benelux,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
French Guiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
French Polynesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gambia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gaza Strip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
German Democratic Republic (GDR),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany & Switzerland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Germany, Austria, & Switzerland",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ghana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gibraltar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greece,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greenland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
